,Year,Country,Region,Continent,Latitude,Longitude,CPI,total_affected,cluster_labels
89,1982,5,1,0,-8.405,123.08,37.7458220769372,8830.0,1.0
90,1982,5,1,0,4.374,97.755,37.7458220769372,15000.0,1.0
92,1983,5,1,0,5.723,94.722,38.9583793014576,100.0,2.0
94,1983,9,2,0,36.372,70.738,38.9583793014576,567.0,2.0
95,1984,5,1,0,2.41,118.55,40.6338038615079,91.0,2.0
96,1984,5,1,0,1.3,98.0,40.6338038615079,1858.0,2.0
97,1984,4,2,0,24.4,92.34,40.6338038615079,10920.0,2.0
99,1984,9,2,0,34.07,71.15,40.6338038615079,16.0,2.0
100,1985,5,1,0,-4.13,136.049,42.074526767818206,17.0,2.0
102,1985,9,2,0,36.19,70.896,42.074526767818206,12043.0,2.0
103,1986,4,2,0,32.128,76.374,42.8731298312885,36.0,2.0
106,1986,9,2,0,27.726999999999997,66.65,42.8731298312885,750.0,1.0
108,1987,5,1,0,-8.247,124.155,44.44423842484,17225.0,1.0
109,1987,5,1,0,2.244,98.866,44.44423842484,15003.0,1.0
111,1988,4,2,0,26.755,616.0,46.256556831435006,20004148.0,1.0
114,1988,8,2,0,26.755,86.616,46.256556831435006,301725.0,1.0
116,1989,1,2,0,21.861,89.76299999999998,48.48936537103,101.0,1.0
117,1989,3,0,0,29.987,99.195,48.48936537103,40115.0,1.0
118,1989,3,0,0,39.893,113.884,48.48936537103,105169.0,1.0
119,1989,3,0,0,23.553,99.526,48.48936537103,26592.0,1.0
120,1989,3,0,0,29.882,106.804,48.48936537103,52804.0,1.0
121,1989,3,0,0,31.583,102.433,48.48936537103,21404.0,1.0
124,1990,3,0,0,37.001,103.863,51.106795000398705,30017.0,1.0
125,1990,3,0,0,35.986,100.245,51.106795000398705,34445.0,1.0
128,1991,0,2,0,37.457,68.273,53.2711566167213,24.0,1.0
129,1991,0,2,0,38.993,70.423,53.2711566167213,7130.0,2.0
131,1991,3,0,0,40.3,78.9,53.2711566167213,42808.0,2.0
132,1991,3,0,0,39.8,173.9,53.2711566167213,240543.0,2.0
134,1992,0,2,0,33.376999999999995,71.317,54.884642412802705,14.0,2.0
135,1992,3,0,0,29.41,91.1,54.884642412802705,16000.0,2.0
136,1993,3,0,0,23.026999999999997,101.06200000000001,56.5046456390697,142146.0,2.0
139,1989,5,1,0,-4.511,139.02200000000002,48.48936537103,17316.0,2.0
140,1989,5,1,0,1.031,126.189,48.48936537103,5500.0,2.0
141,1989,5,1,0,-8.081,125.129,48.48936537103,197.0,2.0
142,1990,5,1,0,3.908,97.45700000000001,51.106795000398705,2173.0,2.0
143,1990,5,1,0,1.186,122.857,51.106795000398705,7041.0,2.0
144,1990,5,1,0,9.904,101.12,51.106795000398705,103.0,2.0
147,1990,9,2,0,35.121,70.486,51.106795000398705,261.0,2.0
148,1990,9,2,0,28.925,66.331,51.106795000398705,51.0,2.0
149,1990,9,2,0,27.429000000000002,65.79,51.106795000398705,6.0,2.0
151,1991,4,2,0,30.78,78.774,53.2711566167213,55883.0,1.0
152,1991,5,1,0,1.196,122.787,53.2711566167213,1000.0,1.0
153,1991,5,1,0,8.099,125.681,53.2711566167213,16219.0,2.0
155,1991,7,1,0,23.5,96.3,53.2711566167213,160.0,1.0
