,Year,Country,Region,Continent,Latitude,Longitude,CPI,total_affected,cluster_labels
574,2019,5,1,0,-0.586,128.034,100.0,11812.0,
575,2019,5,1,0,-1.301,101.601,100.0,1763.0,
576,2019,5,1,0,-8.418,116.52,100.0,1304.0,
577,2019,5,1,0,-7.282,104.791,100.0,2110.0,
579,1913,3,0,0,24.15,102.45,3.8745301120344,1054.0,
580,1915,3,0,0,29.5,91.5,3.9658490035638,170.0,
581,1924,3,0,0,36.983,164.0,6.7184613053794005,100.0,
582,1925,3,0,0,27.0,100.0,6.8750079765728,1512.0,
583,1930,3,0,0,26.8,103.0,6.548869078253301,42.0,
584,1930,3,0,0,30.0,100.0,6.548869078253301,200.0,
585,1931,3,0,0,46.817,89.915,5.9618190612784,10000.0,
586,1935,3,0,0,28.7,103.6,5.374769044303499,100.0,
587,1936,3,0,0,35.4,103.4,5.439996823967401,48250.0,
588,1936,3,0,0,34.2,105.7,5.439996823967401,22441.0,
589,1936,3,0,0,26.6,103.0,5.439996823967401,30.0,
590,1937,3,0,0,35.259,115.184,5.6356801629591,390.0,
591,1940,3,0,0,23.9,102.3,5.4921790476985,58436.0,
592,1940,3,0,0,40.2,122.0,5.4921790476985,5950.0,
593,1941,3,0,0,47.0,127.2,5.7661357222868,31940.0,
594,1941,3,0,0,31.7,102.3,5.7661357222868,375.0,
595,1942,3,0,0,23.1,100.3,6.405367962992799,90.0,
596,1945,3,0,0,39.5,119.0,7.057645759631599,47.0,
597,1948,3,0,0,29.5,100.5,9.418891383464,4000.0,
598,1948,3,0,0,26.4,99.7,9.418891383464,4110.0,
599,1949,3,0,0,42.0,84.0,9.3275724919345,5088.0,
600,1951,3,0,0,26.7,100.0,10.1755336275649,149450.0,
601,1952,3,0,0,30.648000000000003,91.601,10.4103536343549,3924.0,
602,1952,3,0,0,22.9,99.7,10.4103536343549,300.0,
603,1967,3,0,0,30.2,104.1,13.048062107494,2085.0,
604,1972,0,2,0,36.278,69.681,16.356524754182598,26.0,
605,1973,3,0,0,31.398000000000003,100.581,17.3669860176555,840.0,
606,1979,3,0,0,41.145,108.129,28.387598897135895,2104.0,
607,2019,3,0,0,29.573,105.064,100.0,15583.0,
608,2019,3,0,0,29.573,105.064,100.0,15583.0,
614,1913,5,1,0,5.354,126.121,3.8745301120344,138.0,
615,1924,5,1,0,-7.3,109.8,6.7184613053794005,60.0,
616,1930,7,1,0,17.4,95.5,6.548869078253301,50.0,
617,1932,5,1,0,-3.57,128.35,5.348677932438,365.0,
618,1936,5,1,0,4.5,126.5,5.439996823967401,845.0,
619,1950,5,1,0,-6.0,113.0,9.4319369393968,66.0,
620,1955,9,2,0,30.5,67.0,10.473000409773,12.0,
621,1966,4,2,0,28.7,78.9,12.6960281686485,15.0,
622,1967,5,1,0,5.121,96.286,13.048062107494,10014.0,
623,1971,5,1,0,-7.2,109.1,15.838254626633802,6892.0,
624,2019,5,1,0,-3.45,128.347,100.0,247449.0,
625,2019,9,2,0,33.106,73.766,100.0,130437.0,
