,Year,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Country,Region,Continent,Latitude,Longitude,CPI,total_affected
52,1972,Natural,Geophysical,Earthquake,Ground movement,Pakistan,Southern Asia,Asia,36.0,73.4,16.3565247541826,5100.0
53,1974,Natural,Geophysical,Earthquake,Ground movement,Pakistan,Southern Asia,Asia,35.1,72.9,19.2868744704009,54900.0
54,1979,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,31.451999999999998,119.241,28.3875988971359,572574.0
55,1979,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,41.145,108.12899999999999,28.3875988971359,2104.0
57,1981,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,30.927,101.098,35.5651715205916,26000.0
58,1982,Natural,Geophysical,Earthquake,Ground movement,Afghanistan,Southern Asia,Asia,36.148,69.01100000000001,37.7458220769372,38500.0
59,1982,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,31.906999999999996,99.931,37.7458220769372,15.0
61,1983,Natural,Geophysical,Earthquake,Ground movement,Afghanistan,Southern Asia,Asia,34.01,71.4,38.9583793014576,34515.0
62,1983,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,35.205999999999996,115.213,38.9583793014576,18734.0
63,1984,Natural,Geophysical,Earthquake,Ground movement,Afghanistan,Southern Asia,Asia,34.26,70.28,40.6338038615079,36.0
64,1985,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,25.926,102.87100000000001,42.0745267678182,322.0
65,1985,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,39.431,75.22399999999999,42.0745267678182,16167.0
66,1986,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,31.24,86.847,42.8731298312885,290.0
68,1987,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,41.528999999999996,79.318,44.44423842484,2085.0
69,1987,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,24.924,115.60799999999999,44.44423842484,185084.0
73,1988,Natural,Geophysical,Earthquake,Ground movement,Bangladesh,Southern Asia,Asia,24.688000000000002,991.57,46.256556831435,102.0
74,1988,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,38.111,106.336,46.256556831435,50060.0
75,1988,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,22.789,99.611,46.256556831435,1271303.0
76,1979,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,-1.679,136.04,28.3875988971359,5007.0
