,Year,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Country,Region,Continent,Latitude,Longitude,CPI,total_affected
301,2002,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,-1.196,121.333,70.3578189693375,2548.0
302,2002,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,-1.68,134.234,70.3578189693375,155.0
303,2002,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,2.824,96.085,70.3578189693375,63.0
305,2003,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,39.61,77.23,71.9550065545137,517268.0
306,2003,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,-8.807,118.524,71.9550065545137,2502.0
307,2002,Natural,Geophysical,Earthquake,Ground movement,Pakistan,Southern Asia,Asia,35.516999999999996,74.654,70.3578189693375,15082.0
308,2002,Natural,Geophysical,Earthquake,Ground movement,Pakistan,Southern Asia,Asia,35.414,74.515,70.3578189693375,140801.0
309,2002,Natural,Geophysical,Earthquake,Ground movement,Pakistan,Southern Asia,Asia,36.429,70.438,70.3578189693375,3.0
310,2003,Natural,Geophysical,Earthquake,Ground movement,Afghanistan,Southern Asia,Asia,35.893,70.62,71.9550065545137,1002.0
311,2004,Natural,Geophysical,Earthquake,Ground movement,Afghanistan,Southern Asia,Asia,33.426,69.524,73.8814124374447,1042.0
314,2003,Natural,Geophysical,Earthquake,Ground movement,Bangladesh,Southern Asia,Asia,22.854,92.306,71.9550065545137,2527.0
315,2003,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,25.975,101.29,71.9550065545137,1295600.0
316,2003,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,37.529,96.476,71.9550065545137,3300.0
317,2003,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,39.43,77.219,71.9550065545137,8004.0
318,2003,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,43.77,119.64299999999999,71.9550065545137,455504.0
319,2003,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,25.954,101.25399999999999,71.9550065545137,60059.0
320,2003,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,38.383,100.975,71.9550065545137,275052.0
321,2003,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,34.711999999999996,103.834,71.9550065545137,23370.0
322,2003,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,27.372,103.971,71.9550065545137,493069.0
323,2003,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,42.905,80.515,71.9550065545137,6029.0
324,2003,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,27.283,103.75299999999999,71.9550065545137,10004.0
326,2003,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,2.354,128.855,71.9550065545137,248.0
327,2003,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,1.1420000000000001,128.15200000000002,71.9550065545137,500.0
331,2004,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,-3.615,135.53799999999998,73.8814124374447,14109.0
332,2004,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,-3.609,135.404,73.8814124374447,12865.0
333,2004,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,-8.152000000000001,124.868,73.8814124374447,83414.0
335,2004,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,45.382,118.256,73.8814124374447,190100.0
336,2004,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,27.266,103.87299999999999,73.8814124374447,120604.0
337,2004,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,25.073,99.169,73.8814124374447,100012.0
338,2004,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,34.681999999999995,103.781,73.8814124374447,22019.0
339,2004,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,37.506,96.758,73.8814124374447,4199.0
342,2004,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,-8.31,115.788,73.8814124374447,30041.0
343,2004,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,-0.466,100.655,73.8814124374447,512.0
345,2005,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,2.085,97.10799999999999,76.3880272118934,106228.0
348,2005,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,-1.198,119.93299999999999,76.3880272118934,685.0
349,2004,Natural,Geophysical,Earthquake,Ground movement,Pakistan,Southern Asia,Asia,34.774,73.21600000000001,73.8814124374447,13172.0
350,2005,Natural,Geophysical,Earthquake,Ground movement,Afghanistan,Southern Asia,Asia,34.539,73.58800000000001,76.3880272118934,1.0
351,2005,Natural,Geophysical,Earthquake,Ground movement,Afghanistan,Southern Asia,Asia,36.357,71.093,76.3880272118934,506.0
352,2006,Natural,Geophysical,Earthquake,Ground movement,Afghanistan,Southern Asia,Asia,37.255,68.828,78.8522555129301,936.0
353,2005,Natural,Geophysical,Earthquake,Ground movement,India,Southern Asia,Asia,34.539,73.58800000000001,76.3880272118934,157931.0
354,2005,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,29.671,115.68799999999999,76.3880272118934,615516.0
355,2005,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,26.569000000000003,103.036,76.3880272118934,18509.0
360,2006,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,28.011999999999997,104.15100000000001,78.8522555129301,45552.0
361,2006,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,0.626,99.859,78.8522555129301,1208.0
363,2006,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,23.281999999999996,101.693,78.8522555129301,68761.0
364,2006,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,27.995,104.13799999999999,78.8522555129301,265128.0
365,2006,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,33.068000000000005,104.95,78.8522555129301,130.0
366,2006,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,31.56,113.21,78.8522555129301,20000.0
367,2006,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,43.468999999999994,119.55799999999999,78.8522555129301,12000.0
369,2006,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,-7.961,110.446,78.8522555129301,3183701.0
370,2006,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,-8.261000000000001,118.75299999999999,78.8522555129301,115.0
374,2007,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,-0.488,100.53,81.1016589316606,137727.0
376,2005,Natural,Geophysical,Earthquake,Ground movement,Pakistan,Southern Asia,Asia,34.539,73.58800000000001,76.3880272118934,5201647.0
378,2007,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,-4.438,101.367,81.1016589316606,459592.0
380,2007,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,23.028000000000002,101.052,81.1016589316606,332.0
384,2007,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,-7.7829999999999995,114.338,81.1016589316606,469.0
385,2007,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,-8.292,118.37,81.1016589316606,21803.0
387,2008,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,31.002,103.322,84.21522909277,46064072.0
388,2008,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,32.756,105.494,84.21522909277,13533.0
389,2008,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,25.039,97.697,84.21522909277,166.0
390,2008,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,26.241,101.889,84.21522909277,1000629.0
391,2008,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,29.807,90.35,84.21522909277,784.0
392,2008,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,23.97,97.569,84.21522909277,27169.0
393,2008,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,32.56,105.42299999999999,84.21522909277,351008.0
396,2008,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,2.7680000000000002,95.964,84.21522909277,28.0
397,2008,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,-3.935,103.05799999999999,84.21522909277,627.0
398,2008,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,1.271,122.09100000000001,84.21522909277,10083.0
400,2009,Natural,Geophysical,Earthquake,Ground movement,Afghanistan,Southern Asia,Asia,34.185,70.07600000000001,83.9158074104016,3331.0
401,2009,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,43.236000000000004,80.893,83.9158074104016,4549.0
403,2009,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,-0.414,132.885,83.9158074104016,4255.0
404,2009,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,3.886,126.387,83.9158074104016,3049.0
411,2008,Natural,Geophysical,Earthquake,Ground movement,Pakistan,Southern Asia,Asia,30.639,67.351,84.21522909277,75486.0
413,2009,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,-8.207,118.631,83.9158074104016,2502993.0
414,2009,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,-7.782,107.29700000000001,83.9158074104016,339920.0
415,2009,Natural,Geophysical,Earthquake,Ground movement,Bhutan,Southern Asia,Asia,-15.489,-172.095,83.9158074104016,23.0
416,2009,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,25.631999999999998,101.095,83.9158074104016,65337.0
419,2009,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,-0.72,99.867,83.9158074104016,1512.0
422,2010,Natural,Geophysical,Earthquake,Ground movement,Afghanistan,Southern Asia,Asia,35.633,67.658,85.2920606019027,1081.0
423,2010,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,25.558000000000003,105.804,85.2920606019027,17.0
424,2010,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,-2.174,136.543,85.2920606019027,4617.0
427,2010,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,30.268,105.66799999999999,85.2920606019027,10516.0
428,2010,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,25.523000000000003,101.90299999999999,85.2920606019027,50011.0
429,2010,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,33.165,96.54799999999999,85.2920606019027,114968.0
430,2010,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,27.197,103.005,85.2920606019027,5014.0
437,2011,Natural,Geophysical,Earthquake,Ground movement,India,Southern Asia,Asia,27.73,88.155,87.9846029188446,575312.0
438,2011,Natural,Geophysical,Earthquake,Ground movement,Bhutan,Southern Asia,Asia,27.73,88.155,87.9846029188446,20017.0
439,2011,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,24.693,97.943,87.9846029188446,64501.0
440,2011,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,24.726999999999997,97.95700000000001,87.9846029188446,5465.0
441,2011,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,20.686999999999998,99.822,87.9846029188446,9508.0
442,2011,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,27.73,88.155,87.9846029188446,5143.0
445,2011,Natural,Geophysical,Earthquake,Ground movement,Myanmar,South-Eastern Asia,Asia,20.686999999999998,99.822,87.9846029188446,21351.0
446,2011,Natural,Geophysical,Earthquake,Ground movement,Nepal,Southern Asia,Asia,27.73,88.155,87.9846029188446,167956.0
447,2011,Natural,Geophysical,Earthquake,Ground movement,Pakistan,Southern Asia,Asia,28.776999999999997,63.951,87.9846029188446,1002.0
448,2011,Natural,Geophysical,Earthquake,Ground movement,Thailand,South-Eastern Asia,Asia,20.686999999999998,99.822,87.9846029188446,17.0
449,2011,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,43.015,88.24700000000001,87.9846029188446,258.0
451,2011,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,43.648,82.43700000000001,87.9846029188446,143000.0
452,2011,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,39.955,77.028,87.9846029188446,1616.0
454,2011,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,2.965,97.89299999999999,87.9846029188446,10.0
456,2012,Natural,Geophysical,Earthquake,Ground movement,Afghanistan,Southern Asia,Asia,36.023,69.351,89.8052929320648,310.0
458,2012,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,27.767,100.781,89.8052929320648,34238.0
459,2012,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,43.433,84.7,89.8052929320648,155052.0
460,2012,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,27.575,103.98299999999999,89.8052929320648,744902.0
461,2012,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,32.978,119.59299999999999,89.8052929320648,2611.0
462,2012,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,38.745,88.098,89.8052929320648,5500.0
463,2012,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,39.383,81.307,89.8052929320648,36641.0
465,2012,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,2.327,93.06299999999999,89.8052929320648,114.0
466,2012,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,-1.315,120.096,89.8052929320648,7889.0
467,2013,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,34.512,104.262,91.1207940325185,123982.0
468,2013,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,28.2425,99.3502,91.1207940325185,538053.0
469,2013,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,4.645,96.665,91.1207940325185,55983.0
470,2013,Natural,Geophysical,Earthquake,Ground movement,Afghanistan,Southern Asia,Asia,34.525999999999996,70.22,91.1207940325185,3549.0
473,2013,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,25.98,99.81200000000001,91.1207940325185,427740.0
474,2013,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,30.308000000000003,102.88799999999999,91.1207940325185,2198983.0
475,2013,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,44.5993,124.1681,91.1207940325185,58300.0
476,2013,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,31.066,110.412,91.1207940325185,90500.0
477,2013,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,25.953000000000003,99.78200000000001,91.1207940325185,80555.0
478,2013,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,40.253,78.944,91.1207940325185,2000.0
479,2013,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,4.927,95.90700000000001,91.1207940325185,516.0
480,2013,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,5.1033,95.9709,91.1207940325185,2739.0
482,2013,Natural,Geophysical,Earthquake,Ground movement,India,Southern Asia,Asia,33.061,75.863,91.1207940325185,59353.0
485,2012,Natural,Geophysical,Earthquake,Ground movement,Myanmar,South-Eastern Asia,Asia,23.005,95.885,89.8052929320648,1524.0
489,2013,Natural,Geophysical,Earthquake,Ground movement,Pakistan,Southern Asia,Asia,28.033,61.996,91.1207940325185,15216.0
490,2013,Natural,Geophysical,Earthquake,Ground movement,Pakistan,Southern Asia,Asia,26.951,65.5009,91.1207940325185,186148.0
491,2013,Natural,Geophysical,Earthquake,Ground movement,Pakistan,Southern Asia,Asia,27.1825,65.5052,91.1207940325185,72.0
492,2014,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,27.1891,103.4086,92.5989805737934,1121244.0
493,2014,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,35.9053,82.5864,92.5989805737934,450000.0
494,2014,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,28.174,103.619,92.5989805737934,75021.0
495,2014,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,24.974,97.844,92.5989805737934,225015.0
496,2014,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,24.9997,97.845,92.5989805737934,184723.0
497,2014,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,23.3834,100.4702,92.5989805737934,255325.0
498,2014,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,30.3398,101.7374,92.5989805737934,82360.0
499,2014,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,23.3577,100.53299999999999,92.5989805737934,2023.0
500,2015,Natural,Geophysical,Earthquake,Ground movement,Afghanistan,Southern Asia,Asia,36.5244,70.3676,92.7088219860826,92840.0
501,2015,Natural,Geophysical,Earthquake,Ground movement,Afghanistan,Southern Asia,Asia,36.4935,71.1263,92.7088219860826,407.0
502,2015,Natural,Geophysical,Earthquake,Ground movement,Bangladesh,Southern Asia,Asia,28.2305,84.7314,92.7088219860826,204.0
503,2015,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,44.133,85.568,92.7088219860826,8640.0
504,2015,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,23.566,98.854,92.7088219860826,2032.0
505,2015,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,28.2305,84.7314,92.7088219860826,207912.0
506,2015,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,27.8087,86.0655,92.7088219860826,1.0
507,2015,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,37.4593,78.1542,92.7088219860826,9266.0
511,2016,Natural,Geophysical,Earthquake,Ground movement,Bangladesh,Southern Asia,Asia,24.804000000000002,93.65,93.878436484259,75.0
520,2014,Natural,Geophysical,Earthquake,Ground movement,Thailand,South-Eastern Asia,Asia,19.6557,99.6696,92.5989805737934,17524.0
521,2015,Natural,Geophysical,Earthquake,Ground movement,Malaysia,South-Eastern Asia,Asia,5.987,116.541,92.7088219860826,34.0
522,2015,Natural,Geophysical,Earthquake,Ground movement,Nepal,Southern Asia,Asia,28.2305,84.7314,92.7088219860826,5648553.0
523,2015,Natural,Geophysical,Earthquake,Ground movement,Nepal,Southern Asia,Asia,27.8087,86.0655,92.7088219860826,2566.0
524,2015,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,-0.621,131.262,92.7088219860826,12247.0
525,2015,Natural,Geophysical,Earthquake,Ground movement,India,Southern Asia,Asia,28.2305,84.7314,92.7088219860826,638.0
526,2015,Natural,Geophysical,Earthquake,Ground movement,India,Southern Asia,Asia,27.8087,86.0655,92.7088219860826,20.0
527,2015,Natural,Geophysical,Earthquake,Ground movement,India,Southern Asia,Asia,36.5244,70.3676,92.7088219860826,10.0
529,2015,Natural,Geophysical,Earthquake,Ground movement,Pakistan,Southern Asia,Asia,36.5244,70.3676,92.7088219860826,502870.0
530,2015,Natural,Geophysical,Earthquake,Ground movement,Pakistan,Southern Asia,Asia,36.4935,71.1263,92.7088219860826,88.0
532,2016,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,-3.863,127.229,93.878436484259,368.0
533,2016,Natural,Geophysical,Earthquake,Ground movement,India,Southern Asia,Asia,24.804000000000002,93.65,93.878436484259,10816.0
536,2016,Natural,Geophysical,Earthquake,Ground movement,Pakistan,Southern Asia,Asia,36.473,71.13,93.878436484259,148.0
537,1902,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,39.88,76.2,3.3918445425216,2500.0
538,1905,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,29.3,104.8,3.5223001018494,0.0
539,1906,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,43.5,85.5,3.5223001018494,10280.0
540,1909,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,24.4,103.0,3.5223001018494,21.0
542,2016,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,39.238,74.047,93.878436484259,37201.0
543,2016,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,43.823,86.345,93.878436484259,9120.0
544,2016,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,26.076999999999998,99.539,93.878436484259,5002.0
547,2017,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,33.193000000000005,103.855,95.8781657744988,218354.0
550,2017,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,29.833000000000002,94.978,95.8781657744988,23403.0
551,2018,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,45.278999999999996,124.557,98.2199906178672,12000.0
552,2018,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,24.331999999999997,102.941,98.2199906178672,18024.0
554,2019,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,29.498,104.632,100.0,32774.0
555,2019,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,28.405,104.95700000000001,100.0,244233.0
557,1909,Natural,Geophysical,Earthquake,Ground movement,Pakistan,Southern Asia,Asia,30.0,68.0,3.5223001018494,231.0
558,2016,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,-8.218,117.816,93.878436484259,3410.0
559,2016,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,5.281000000000001,96.10799999999999,93.878436484259,86122.0
560,2016,Natural,Geophysical,Earthquake,Ground movement,Myanmar,South-Eastern Asia,Asia,20.923000000000002,94.569,93.878436484259,1156.0
567,2018,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,-8.287,116.45200000000001,98.2199906178672,517491.0
568,2018,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,-7.196000000000001,105.91799999999999,98.2199906178672,13812.0
569,2018,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,-8.274,116.491,98.2199906178672,102866.0
570,2018,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,-8.325,116.57700000000001,98.2199906178672,789.0
574,2019,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,-0.586,128.034,100.0,11812.0
575,2019,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,-1.301,101.601,100.0,1763.0
576,2019,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,-8.418,116.52,100.0,1304.0
577,2019,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,-7.282,104.791,100.0,2110.0
579,1913,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,24.15,102.45,3.8745301120344,1054.0
580,1915,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,29.5,91.5,3.9658490035638,170.0
581,1924,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,36.983000000000004,164.0,6.7184613053794,100.0
582,1925,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,27.0,100.0,6.8750079765728,1512.0
583,1930,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,26.8,103.0,6.5488690782533,42.0
584,1930,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,30.0,100.0,6.5488690782533,200.0
585,1931,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,46.817,89.915,5.9618190612784,10000.0
586,1935,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,28.7,103.6,5.3747690443035,100.0
587,1936,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,35.4,103.4,5.4399968239674,48250.0
588,1936,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,34.2,105.7,5.4399968239674,22441.0
589,1936,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,26.6,103.0,5.4399968239674,30.0
590,1937,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,35.259,115.184,5.6356801629591,390.0
591,1940,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,23.9,102.3,5.4921790476985,58436.0
592,1940,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,40.2,122.0,5.4921790476985,5950.0
593,1941,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,47.0,127.2,5.7661357222868,31940.0
594,1941,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,31.7,102.3,5.7661357222868,375.0
595,1942,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,23.1,100.3,6.4053679629928,90.0
596,1945,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,39.5,119.0,7.0576457596316,47.0
597,1948,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,29.5,100.5,9.418891383464,4000.0
598,1948,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,26.4,99.7,9.418891383464,4110.0
599,1949,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,42.0,84.0,9.3275724919345,5088.0
600,1951,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,26.7,100.0,10.1755336275649,149450.0
601,1952,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,30.648000000000003,91.601,10.4103536343549,3924.0
602,1952,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,22.9,99.7,10.4103536343549,300.0
603,1967,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,30.2,104.1,13.048062107494,2085.0
604,1972,Natural,Geophysical,Earthquake,Ground movement,Afghanistan,Southern Asia,Asia,36.278,69.681,16.3565247541826,26.0
605,1973,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,31.398000000000003,100.581,17.3669860176555,840.0
606,1979,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,41.145,108.12899999999999,28.3875988971359,2104.0
607,2019,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,29.573,105.064,100.0,15583.0
608,2019,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,29.573,105.064,100.0,15583.0
614,1913,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,5.354,126.12100000000001,3.8745301120344,138.0
615,1924,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,-7.3,109.8,6.7184613053794,60.0
616,1930,Natural,Geophysical,Earthquake,Ground movement,Myanmar,South-Eastern Asia,Asia,17.4,95.5,6.5488690782533,50.0
