Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1958-0024-IDN,1958,24,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,Malang (East Java),,,,,,,,7,Richter,-9.5,112.5,8:42,,1958,10,20,1958,10,20,8,1856,1030,475,3361,,,,11.28789241,,,,
1965-0093-IDN,1965,93,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,Sanana Island,,Tsunami/Tidal wave,,,,,,8,Richter,-2.608,-125.952,7:11,,1965,1,24,1965,1,24,71,,15000,,15000,,,,12.32443267,,,,
1967-0101-IDN,1967,101,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,"Makassar Strait, Tinambung (South Sulawesi)",,Tsunami/Tidal wave,,,,,,6,Richter,-3.7,119.3,12:09,,1967,4,11,1967,4,11,71,100,,,100,,,,13.04806211,,,,
1967-0102-IDN,1967,102,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,"Dampit, Gondang, Trenggalek, Malang (East Java)",,,,,,,,6,Richter,-8.965,113.017,5:14,,1967,2,20,1967,2,20,54,121,,8290,8411,,,,13.04806211,,,,
1967-0092-IDN,1967,92,,Technological,Technological,Miscellaneous accident,Collapse,,,Indonesia,IDN,South-Eastern Asia,Asia,,,,,,,,,,,,,,,1967,12,1,1967,12,1,200,,,,,,,,13.04806211,,,,
1967-0077-IND,1967,77,,Natural,Geophysical,Earthquake,Ground movement,,,India,IND,Southern Asia,Asia,"Maharashtra, Koynana",,,,,,,,7,Richter,17.412,73.885,4:21,,1967,12,11,1967,12,11,177,2272,50000,,52272,,,400,13.04806211,,,,
1967-0091-IND,1967,91,,Technological,Technological,Miscellaneous accident,Collapse,,,India,IND,Southern Asia,Asia,Maraksagar,,,,,,,,,,,,,,1967,9,8,1967,9,8,100,,,,,,,,13.04806211,,,,
1969-0082-CHN,1969,82,,Natural,Geophysical,Earthquake,Ground movement,,,China,CHN,Eastern Asia,Asia,"Tientsin (Swatow province), Yangjiang county (Huangdong province)",,,,,,,,6,Richter,22.317,111.8,6:49,,1969,7,26,1969,7,26,3000,,,53810,53810,,,,14.34862782,,,,
1970-0010-CHN,1970,10,,Natural,Geophysical,Earthquake,Ground movement,,,China,CHN,Eastern Asia,Asia,Yunnan province,,,,,,,,7,Richter,24.185,102.543,,,1970,1,4,1970,1,4,10000,,,,,,,,15.18633546,,,,
1970-0112-IND,1970,112,,Natural,Geophysical,Earthquake,Ground movement,,,India,IND,Southern Asia,Asia,Broach,,,,,,,,5,Richter,21.7,73,7:22,,1970,3,23,1970,3,23,26,200,,,200,,,,15.18633546,,,,
1974-0025-CHN,1974,25,,Natural,Geophysical,Earthquake,Ground movement,,,China,CHN,Eastern Asia,Asia,"Yunnan, Sichuan",,,,,,,,7,Richter,28.4,104.1,2:25,,1974,5,11,1974,5,11,20000,,,,,,,,19.28687447,,,,
1975-0017-CHN,1975,17,,Natural,Geophysical,Earthquake,Ground movement,,,China,CHN,Eastern Asia,Asia,Anshan Liaoning province,,,,,,,,7,Richter,40.641,122.58,20:06,,1975,2,4,1975,2,4,2000,,,,,,,,21.05030752,,,,
1975-0014-IND,1975,14,,Natural,Geophysical,Earthquake,Ground movement,,,India,IND,Southern Asia,Asia,"Kinnaur district, Kashmir; Himachal Pradesh",,,,,,,,7,Richter,32.455,78.43,13:32,,1975,1,19,1975,1,19,47,,,,,,,,21.05030752,,,,
1975-0152-IND,1975,152,,Technological,Technological,Industrial accident,Collapse,,Mine,India,IND,Southern Asia,Asia,Kessurgarh,,,,,,,,,m3,,,,,1975,8,,1975,8,,11,,,,,,,,21.05030752,,,,
1976-0028-AFG,1976,28,,Natural,Geophysical,Earthquake,Ground movement,,,Afghanistan,AFG,Southern Asia,Asia,Shamagan province (Hindu Kush),,,,,,,,6,Richter,36.61,67.79,17:33,,1976,3,19,1976,3,19,50,,90000,,90000,,,,22.25960139,,,,
1976-0050-CHN,1976,50,,Natural,Geophysical,Earthquake,Ground movement,,,China,CHN,Eastern Asia,Asia,"Tangshan, Pek.,Tientsin",,,,,,,,8,Richter,39.57,117.978,3:42,,1976,7,28,1976,7,28,242000,164000,,,164000,,,5600000,22.25960139,,,,
1976-0055-CHN,1976,55,,Natural,Geophysical,Earthquake,Ground movement,,,China,CHN,Eastern Asia,Asia,"Szechwan, Chengtu",,,,,No,No,,,Richter,30.37 N,104.06 E,,,1976,8,16,1976,8,16,,,,,,,,,22.25960139,,,,
1976-0043-IDN,1976,43,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,Wanena Region (Irian Jaya),,,,Yes,,,,7,Richter,-4.603,140.091,2:18,,1976,6,26,1976,6,26,420,,15000,,15000,,,25000,22.25960139,,,,
1976-0047-IDN,1976,47,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,Bali,,,,Yes,,,,7,Richter,-8.17,114.888,14:13,,1976,7,14,1976,7,14,573,4755,450000,,454755,,,195000,22.25960139,,,,
1976-0071-IDN,1976,71,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,"Irian Jaya, Jayawijaya (New guinea)",,,,,,,,7,Richter,-4.517,139.918,9:51,,1976,10,29,1976,10,29,133,,7000,,7000,,,,22.25960139,,,,
1977-0106-IDN,1977,106,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,"Sumbaya, Lombok, Sumba (Nusa Tengarra Is.)",,Tsunami/Tidal wave,,,,,,8,Richter,-11.164,118.378,,,1977,8,19,1977,8,19,185,75,3900,,3975,,,1200,23.706851,,,,
1977-0251-IDN,1977,251,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,East Timor,,,,,No,No,,,Richter,,,,,1977,8,27,1977,8,27,2,25,,,25,,,,23.706851,,,,
1930-0006-MMR,1930,6,,Natural,Geophysical,Earthquake,Ground movement,,,Myanmar,MMR,South-Eastern Asia,Asia,"Pegu, Rangoon",,Tsunami/Tidal wave,,,,,,8,Richter,17.86,96.43,20:15,,1930,5,5,1930,5,5,500,,,,,,,,6.548869078,,,,
1930-0017-MMR,1930,17,,Natural,Geophysical,Earthquake,Ground movement,,,Myanmar,MMR,South-Eastern Asia,Asia,"Nyauglebin, Toungoo, Pyu",,,,,,,,7,Richter,18.233,96.298,1:21,,1930,12,4,1930,12,4,36,,,,,,,,6.548869078,,,,
1935-0005-PAK,1935,5,,Natural,Geophysical,Earthquake,Ground movement,,,Pakistan,PAK,Southern Asia,Asia,Quetta (Baluchistan),,Tsunami/Tidal wave,,,,,,8,Richter,29.5,66.8,3.02,,1935,5,31,1935,5,31,60000,25000,,,25000,,,,5.374769044,,,,
1941-0016-MMR,1941,16,,Natural,Geophysical,Earthquake,Ground movement,,,Myanmar,MMR,South-Eastern Asia,Asia,Myanmar-China border region,,,,,,,,7,Richter,22.408,99.814,21:48,,1941,12,26,1941,12,26,15,,,,,,,,5.766135722,,,,
1945-0007-PAK,1945,7,,Natural,Geophysical,Earthquake,Ground movement,,,Pakistan,PAK,Southern Asia,Asia,Makran,,Tsunami/Tidal wave,,,,,,8,Richter,24.927,63.601,3:26,,1945,11,28,1945,11,28,4000,,,,,,,25000,7.05764576,,,,
1966-0051-NPL,1966,51,,Natural,Geophysical,Earthquake,Ground movement,,,Nepal,NPL,Southern Asia,Asia,Nepal-India border,,,,,,,,6,Richter,29.706,80.935,16:44,,1966,6,27,1966,6,27,80,100,20000,,20100,,,1000,12.69602817,,,,
1972-0132-PAK,1972,132,,Natural,Geophysical,Earthquake,Ground movement,,,Pakistan,PAK,Southern Asia,Asia,"Tangir, Gupis, Rawalpindi, Peshawar",,,,,,,,6,Richter,36,73.4,21:48,,1972,9,3,1972,9,3,100,,5000,,5000,,,,16.35652475,,,,
1974-0063-PAK,1974,63,,Natural,Geophysical,Earthquake,Ground movement,,,Pakistan,PAK,Southern Asia,Asia,"North Indus R. Valley, Balakot, Patan",,Tsunami/Tidal wave,,Yes,,,,6,Richter,35.1,72.9,17:28,,1974,12,28,1974,12,28,4700,15000,30000,5200,50200,,,3255,19.28687447,,,,
1979-0063-CHN,1979,63,,Natural,Geophysical,Earthquake,Ground movement,,,China,CHN,Eastern Asia,Asia,Lyang area (Jiangsu province),,,,,,,,5,Richter,31.452,119.241,18:57,,1979,7,9,1979,7,9,42,2987,,569545,572532,,,,28.3875989,,,,
1979-0082-CHN,1979,82,,Natural,Geophysical,Earthquake,Ground movement,,,China,CHN,Eastern Asia,Asia,Wu-Yuan area (Inner Mongolia),,,,,,,,6,Richter,41.145,108.129,0:59,,1979,8,25,1979,8,25,,104,2000,,2104,,,,28.3875989,,,,
1979-0293-CHN,1979,293,,Technological,Technological,Industrial accident,Collapse,,"Plate-forme de forage ""Bohai-2""",China,CHN,Eastern Asia,Asia,Au large de Tianjin,,,,,,,,,m3,,,,,1979,11,,1979,11,,72,,,,,,,,28.3875989,,,,
1981-0026-CHN,1981,26,,Natural,Geophysical,Earthquake,Ground movement,,,China,CHN,Eastern Asia,Asia,Sichuan province,,,,,,,,7,Richter,30.927,101.098,5:13,,1981,1,24,1981,1,24,150,850,25000,,25850,,,,35.56517152,,,,
1982-0127-AFG,1982,127,,Natural,Geophysical,Earthquake,Ground movement,,,Afghanistan,AFG,Southern Asia,Asia,Baghlan province (Hindu Kush region),,,,,,,,7,Richter,36.148,69.011,5:10,,1982,12,16,1982,12,16,500,3000,35000,,38000,,,1000,37.74582208,,,,
1982-0068-CHN,1982,68,,Natural,Geophysical,Earthquake,Ground movement,,,China,CHN,Eastern Asia,Asia,Garze (Sichuan province),,,,,,,,6,Richter,31.907,99.931,7:24,,1982,6,16,1982,6,16,10,5,,,5,,,,37.74582208,,,,
1982-0406-CHN,1982,406,,Technological,Technological,Industrial accident,Collapse,,Factory,China,CHN,Eastern Asia,Asia,Hunan province,,,,,,,,,m3,,,,,1982,8,,1982,8,,44,20,,,20,,,,37.74582208,,,,
1983-0166-AFG,1983,166,,Natural,Geophysical,Earthquake,Ground movement,,,Afghanistan,AFG,Southern Asia,Asia,"Hindu Kush region, North-East provinces",,,,,Yes,No,,7,Richter,34.01 N,71.40 E,,,1983,12,16,1983,12,16,12,483,27440,6580,34503,,,3000,38.9583793,,,,
1983-0144-CHN,1983,144,,Natural,Geophysical,Earthquake,Ground movement,,,China,CHN,Eastern Asia,Asia,Heze area (Shandong province),,,,,,,,5,Richter,35.206,115.213,5:09,,1983,11,7,1983,11,7,34,2200,,16500,18700,,,,38.9583793,,,,
